id,fecha,producto,cantidad,precio
2,01/01/2024,Auriculares,1,4986
3,02/01/2024,Laptop,3,1714
4,03/01/2024,Monitor,2,1672
5,04/01/2024,Monitor,1,5262
6,05/01/2024,Auriculares,5,692
7,06/01/2024,Laptop,5,390
8,07/01/2024,Mouse,1,4757
9,08/01/2024,Laptop,1,8158
10,09/01/2024,Monitor,2,2854
11,10/01/2024,Impresora,5,1326
12,11/01/2024,Laptop,5,1224
13,12/01/2024,Monitor,5,1179
14,13/01/2024,Mouse,2,3542
15,14/01/2024,Mouse,5,984
16,15/01/2024,Teclado,1,1951
17,16/01/2024,Monitor,4,1384
18,17/01/2024,Teclado,3,926
19,18/01/2024,Monitor,2,3144
20,19/01/2024,Teclado,1,2627
21,20/01/2024,Laptop,4,1621
22,21/01/2024,Laptop,3,2267
23,22/01/2024,Teclado,5,1128
24,23/01/2024,Teclado,1,4402
25,24/01/2024,Auriculares,4,355
26,25/01/2024,Impresora,1,4103
27,26/01/2024,Mouse,1,4231
28,27/01/2024,Impresora,3,1177
29,28/01/2024,Auriculares,5,1271
30,29/01/2024,Teclado,5,1126
31,30/01/2024,Monitor,1,3006
32,31/01/2024,Laptop,2,2879
33,01/02/2024,Teclado,1,8139
34,02/02/2024,Monitor,1,5226
35,03/02/2024,Mouse,3,890
36,04/02/2024,Mouse,3,1720
37,05/02/2024,Monitor,3,395
38,06/02/2024,Teclado,2,3914
39,07/02/2024,Auriculares,3,1518
40,08/02/2024,Auriculares,1,2538
41,09/02/2024,Impresora,2,1955
42,10/02/2024,Impresora,2,1069
43,11/02/2024,Monitor,4,1456
44,12/02/2024,Mouse,3,2274
45,13/02/2024,Auriculares,5,622
46,14/02/2024,Monitor,3,1302
47,15/02/2024,Laptop,2,2517
48,16/02/2024,Laptop,3,1870
49,17/02/2024,Mouse,3,1295
50,18/02/2024,Laptop,2,1091
51,19/02/2024,Impresora,3,2613
52,20/02/2024,Monitor,4,1689
53,21/02/2024,Mouse,4,747
54,22/02/2024,Monitor,3,2792
55,23/02/2024,Monitor,2,1843
56,24/02/2024,Auriculares,5,425
57,25/02/2024,Impresora,3,1058
58,26/02/2024,Auriculares,5,951
59,27/02/2024,Mouse,5,1735
60,28/02/2024,Mouse,3,2280
61,29/02/2024,Monitor,2,548
62,01/03/2024,Impresora,4,1705
63,02/03/2024,Laptop,1,1194
64,03/03/2024,Laptop,2,3531
65,04/03/2024,Auriculares,2,1668
66,05/03/2024,Auriculares,4,1365
67,06/03/2024,Impresora,1,3851
68,07/03/2024,Mouse,4,551
69,08/03/2024,Impresora,4,684
70,09/03/2024,Impresora,3,2340
71,10/03/2024,Impresora,1,7182
72,11/03/2024,Auriculares,1,1451
73,12/03/2024,Auriculares,5,1540
74,13/03/2024,Teclado,3,2451
75,14/03/2024,Laptop,3,2641
76,15/03/2024,Mouse,2,2976
77,16/03/2024,Mouse,1,5148
78,17/03/2024,Auriculares,3,2249
79,18/03/2024,Impresora,2,1592
80,19/03/2024,Impresora,1,4594
81,20/03/2024,Auriculares,3,2986
82,21/03/2024,Auriculares,5,1789
83,22/03/2024,Impresora,2,2828
84,23/03/2024,Monitor,3,363
85,24/03/2024,Monitor,5,822
86,25/03/2024,Impresora,1,4898
87,26/03/2024,Impresora,3,2660
88,27/03/2024,Mouse,1,1280
89,28/03/2024,Laptop,3,803
90,29/03/2024,Teclado,2,2314
91,30/03/2024,Laptop,2,3383
92,31/03/2024,Impresora,1,1845
93,01/04/2024,Laptop,4,668
94,02/04/2024,Laptop,5,1720
95,03/04/2024,Monitor,2,1104
96,04/04/2024,Auriculares,4,1810
97,05/04/2024,Impresora,2,2126
98,06/04/2024,Teclado,5,628
